"Clé","Name (English)","اسم (العربية)","Nom (français)","ISO","Propriétaire (Id)","Propriétaire (Nom)"
"27680289","El Akba Supérieur","العقبة العليا","El Akba Supérieur","","1163","Délégation de El Hrairia"
"27680299","Ghédir El Golla","غدير القلة","Ghédir El Golla","","1163","Délégation de El Hrairia"
"27680309","El Antit","العنتيت","El Antit","","1163","Délégation de El Hrairia"
"27680319","El Foula","الفلة","El Foula","","1163","Délégation de El Hrairia"
"27680329","Tarak Ibn Ziad","طارق بن زياد","Tarak Ibn Ziad","","1163","Délégation de El Hrairia"
"27680339","Ezzahrouni","الزهروني","Ezzahrouni","","1163","Délégation de El Hrairia"
"1164","Delegation of Sidi Hassine","معتمدية  سيدي حسين","Délégation de Sidi Hassine","","11","Gouvernorat de Tunis"
"27680349","Borj-Chakir","برج شاكير","Borj-Chakir","","1164","Délégation de Sidi Hassine"
"27680359","Sidi Hassine","سيدي حسين","Sidi Hassine","","1164","Délégation de Sidi Hassine"
"27680369","El Jaïara","الجيارة","El Jaïara","","1164","Délégation de Sidi Hassine"
"27680379","Attar","عطار","Attar","","1164","Délégation de Sidi Hassine"
"27680389","20-mars","20 مارس","20-mars","","1164","Délégation de Sidi Hassine"
"27680399","Byrine","بيرين","Byrine","","1164","Délégation de Sidi Hassine"
"27680409","Meghiret Inzel","المغيرة إنزال","Meghiret Inzel","","1164","Délégation de Sidi Hassine"
"27680419","25 'juillet","25جويلية'","25 'juillet","","1164","Délégation de Sidi Hassine"
"27680429","14-janvier","14 جانفي","14-janvier","","1164","Délégation de Sidi Hassine"
"1165","Delegation of El Ouardia","معتمدية  الوردية","Délégation de El Ouardia","","11","Gouvernorat de Tunis"
"27680439","El Ouardia","الوردية","El Ouardia","","1165","Délégation de El Ouardia"
"27680449","Bou-Gatfa","بوقطفة","Bou-Gatfa","","1165","Délégation de El Ouardia"
"27680459","Tahar Sfar","الطاهر صفر","Tahar Sfar","","1165","Délégation de El Ouardia"
"27680469","Cité El Izdihar","حي الإزدهار","Cité El Izdihar","","1165","Délégation de El Ouardia"
"27680479","Cité Mohamed Ali","حي محمد علي","Cité Mohamed Ali","","1165","Délégation de El Ouardia"
"27680489","Sidi Belhassen","سيدي بلحسن","Sidi Belhassen","","1165","Délégation de El Ouardia"
"1166","Delegation of El Kabaria","معتمدية  الكبارية","Délégation de El Kabaria","","11","Gouvernorat de Tunis"
"27680499","El Kabaria (1)","الكبارية (1)","El Kabaria (1)","","1166","Délégation de El Kabaria"
"27680509","El Kabaria (2)","الكبارية (2)","El Kabaria (2)","","1166","Délégation de El Kabaria"
"27680519","El Kabaria (3)","الكبارية (3)","El Kabaria (3)","","1166","Délégation de El Kabaria"
"27680529","El Kabaria (4)","الكبارية (4)","El Kabaria (4)","","1166","Délégation de El Kabaria"
"27680539","Cité Ennour","حي النور","Cité Ennour","","1166","Délégation de El Kabaria"
"27680549","Ibn Sina (1)","إبن سينا (1)","Ibn Sina (1)","","1166","Délégation de El Kabaria"
"27680559","Ibn Sina (2)","إبن سينا (2)","Ibn Sina (2)","","1166","Délégation de El Kabaria"
"27680569","El Mourouj (2)","المروج (2)","El Mourouj (2)","","1166","Délégation de El Kabaria"
"1167","Delegation of Sidi El Béchir","معتمدية  سيدي البشير","Délégation de Sidi El Béchir","","11","Gouvernorat de Tunis"
"27680579","Sidi El Béchir","سيدي البشير","Sidi El Béchir","","1167","Délégation de Sidi El Béchir"
"27680589","Sidi Mansour","سيدي منصور","Sidi Mansour","","1167","Délégation de Sidi El Béchir"
"27680599","Mâakel Ezzaïm","معقل الزعيم","Mâakel Ezzaïm","","1167","Délégation de Sidi El Béchir"
"27680609","Farhat Hached","فرحات حشاد","Farhat Hached","","1167","Délégation de Sidi El Béchir"
"27680619","Abulkacem Ech-chebbi","أبو القاسم الشابي","Abulkacem Ech-chebbi","","1167","Délégation de Sidi El Béchir"
"27680629","Saïda Manoubia","السيدة المنوبية","Saïda Manoubia","","1167","Délégation de Sidi El Béchir"
"1168","Delegation of Djebel Djelloud","معتمدية  جبل الجلود","Délégation de Djebel Djelloud","","11","Gouvernorat de Tunis"
"27680639","Sidi Fathallah","سيدي فتح الله","Sidi Fathallah","","1168","Délégation de Djebel Djelloud"
"27680649","Ali Bach-Hamba","علي باش حانبة","Ali Bach-Hamba","","1168","Délégation de Djebel Djelloud"
